epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,18.7328,1.34882,0.9,0.996,0.29013,0.000236484,0.000236484,0.000236484
2,38.1791,0.21421,0.947,1,0.17695,0.000465089,0.000465089,0.000465089
3,56.7763,0.16676,0.941,0.997,0.18369,0.00068427,0.00068427,0.00068427
4,75.3404,0.15614,0.94,1,0.17535,0.000671588,0.000671588,0.000671588
5,94.5955,0.11057,0.98,1,0.06285,0.000657451,0.000657451,0.000657451
6,114.961,0.09705,0.976,1,0.09029,0.000643314,0.000643314,0.000643314
7,135.291,0.09448,0.977,1,0.06768,0.000629177,0.000629177,0.000629177
8,155.626,0.08132,0.978,1,0.0721,0.00061504,0.00061504,0.00061504
9,176.012,0.066,0.981,1,0.05473,0.000600902,0.000600902,0.000600902
10,196.405,0.07085,0.973,1,0.10382,0.000586765,0.000586765,0.000586765
11,216.698,0.05842,0.986,1,0.05133,0.000572628,0.000572628,0.000572628
12,237.076,0.05416,0.978,1,0.06124,0.000558491,0.000558491,0.000558491
13,257.387,0.05226,0.98,1,0.05748,0.000544354,0.000544354,0.000544354
14,277.757,0.04909,0.986,0.998,0.05212,0.000530216,0.000530216,0.000530216
15,298.089,0.04657,0.985,1,0.05086,0.000516079,0.000516079,0.000516079
16,318.427,0.03415,0.985,1,0.04853,0.000501942,0.000501942,0.000501942
17,338.756,0.03906,0.99,1,0.02383,0.000487805,0.000487805,0.000487805
18,359.139,0.0413,0.985,1,0.04184,0.000473668,0.000473668,0.000473668
19,379.436,0.0352,0.987,1,0.03128,0.00045953,0.00045953,0.00045953
20,399.765,0.04092,0.985,1,0.0538,0.000445393,0.000445393,0.000445393
21,420.027,0.0335,0.984,1,0.03627,0.000431256,0.000431256,0.000431256
22,440.304,0.0386,0.99,1,0.02511,0.000417119,0.000417119,0.000417119
23,460.644,0.03116,0.989,1,0.03416,0.000402982,0.000402982,0.000402982
24,480.923,0.03013,0.991,1,0.02964,0.000388844,0.000388844,0.000388844
25,501.276,0.0241,0.987,1,0.05135,0.000374707,0.000374707,0.000374707
26,521.546,0.03314,0.987,0.999,0.03924,0.00036057,0.00036057,0.00036057
27,541.835,0.03002,0.99,0.999,0.03185,0.000346433,0.000346433,0.000346433
28,562.116,0.02153,0.988,0.999,0.04028,0.000332296,0.000332296,0.000332296
29,582.397,0.02074,0.985,0.999,0.04401,0.000318158,0.000318158,0.000318158
30,602.679,0.01958,0.993,1,0.028,0.000304021,0.000304021,0.000304021
31,623.049,0.02039,0.993,1,0.02559,0.000289884,0.000289884,0.000289884
32,643.412,0.01622,0.987,0.999,0.04019,0.000275747,0.000275747,0.000275747
33,663.674,0.01357,0.991,1,0.03002,0.00026161,0.00026161,0.00026161
34,683.94,0.01238,0.992,1,0.02321,0.000247472,0.000247472,0.000247472
35,704.241,0.01768,0.992,1,0.03169,0.000233335,0.000233335,0.000233335
36,724.505,0.01595,0.994,0.999,0.02188,0.000219198,0.000219198,0.000219198
37,744.853,0.01061,0.993,1,0.02355,0.000205061,0.000205061,0.000205061
38,765.175,0.01166,0.992,1,0.02239,0.000190924,0.000190924,0.000190924
39,785.439,0.00962,0.992,0.998,0.02766,0.000176786,0.000176786,0.000176786
40,805.711,0.01,0.992,0.999,0.02264,0.000162649,0.000162649,0.000162649
